id,Variety,Field,Year,Week,Area_He,Kg_He,Average_Temp,Max_Temp,Min_Temp,Average_Hum,Accumulated_Evapotranspiration,Sum_Evapotranspiration,Accumulated_degree_Days,B1_mean,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B9_mean,B10_mean,B11_mean,B12_mean,EVI,GNDVI,NDVI
1,THOMPSON,THOMPSON 00,2017,44-52,9.6,37556.1240529843,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,23.7966666666667,260.821864417118,1228.68470790378,957.322164948454,962.285223367698,628.676116838488,1135.93728522337,3094.94845360825,3834.97422680412,3715.07731958763,4091.28780068729,1324.16408934708,32.5515463917526,1663.10910652921,830.857388316151,0.742982713908879,0.579211210108705,0.699569361956464
2,THOMPSON,THOMPSON 07,2017,44-52,3.4,35366.3961544306,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,23.7966666666667,260.821864417118,1243.86924939467,966.605326876513,967.433414043584,654.90799031477,1145.67312348668,2991.52542372881,3693.54721549637,3605.15738498789,3938.03389830508,1250.799031477,30.7046004842615,1654.1210653753,868.048426150121,0.711311051834005,0.564627561528804,0.677959137115871
3,THOMPSON,THOMPSON 08,2017,44-52,3.4,41151.8046534935,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,23.7966666666667,260.821864417118,1241.50469483568,978.392018779343,974.68779342723,681.018779342723,1161.26525821596,2954.33098591549,3651.20892018779,3554.83802816901,3911.13615023474,1244.9882629108,26.3450704225352,1730.46948356808,917.737089201878,0.696388471084581,0.562367223657912,0.669452285332859
4,THOMPSON,THOMPSON 96,2017,44-52,9.5,32043.0048893038,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,23.7966666666667,260.821864417118,1221.01707097934,952.400718778077,950.125786163522,626.856244384546,1120.12848158131,2988.82839173405,3692.21563342318,3592.44564240791,3947.95327942498,1259.32345013477,28.0413297394429,1655.10961365678,839.059299191375,0.720748817369087,0.571501383080958,0.690603732152341
5,CRIMSON,CRIMSON  99-00,2017,44-52,12.2,58011.7978041702,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,23.7966666666667,260.821864417118,1247.16131191432,976.692771084337,1013.94645247657,654.417670682731,1262.93775100402,3348.27576974565,4087.52074966533,3976.93507362784,4355.81124497992,1380.5562248996,31.2128514056225,1775.42637215529,877.10374832664,0.779165441033192,0.582934074532714,0.70473234662649
6,CRIMSON,CRIMSON 04,2017,44-52,2.4,57662.2708683132,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,23.7966666666667,260.821864417118,1300.11888111888,1000.48601398601,1041.98601398601,700.65034965035,1312.7027972028,3293.52447552448,3997.8951048951,3925.92657342657,4258.44405594406,1313.59090909091,30.6993006993007,1820.33566433566,955.786713286713,0.755367738800449,0.571498670882278,0.686543881997362
7,ARRA,ARRA 15 CR,2017,44-52,2.9,22310.5517241379,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,23.7966666666667,260.821864417118,1375.62666666667,1147.752,1134.59466666667,1050.384,1394.25866666667,2398.68,2777.91733333333,2683.03733333333,2966.78933333333,1042.97866666667,32.92,1939.45333333333,1343.21866666667,0.395615951816241,0.401007515668869,0.433097600062688
8,TIMCO,TIMCO 14 CR,2017,44-52,4.1,13509.8536585366,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,23.7966666666667,260.821864417118,1367.80980392157,1146.75098039216,1130.36274509804,1040.1568627451,1392.23137254902,2482.72745098039,2890.81568627451,2815.76666666667,3095.04509803922,1077.96470588235,30.856862745098,2005.42745098039,1374.14901960784,0.428071371334441,0.418688299609166,0.452339779337247
9,INIAGRAPEONE,INIAGRAPE ONE 14,2017,44-52,1.1,31768.2071031237,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,23.7966666666667,260.821864417118,1335.16417910448,1041.46268656716,1013.30597014925,806.343283582089,1227.9552238806,2719.68656716418,3337.13432835821,3235.57462686567,3588.11194029851,1102.33582089552,16.9701492537313,1821.62686567164,1080.42537313433,0.593669650269978,0.513821797362014,0.590559515490461
10,SABLE,SABLE 14,2017,44-52,4.2,21504.1134751773,17.3678571428571,30.9,6.36666666666667,69.6428571428571,23.7966666666667,23.7966666666667,260.821864417118,1322.06007751938,1079.05426356589,1067.94573643411,900.978682170543,1308.58914728682,2662.66666666667,3216.19573643411,3155.03294573643,3509.95736434109,1175.44379844961,32.8217054263566,2090.82364341085,1299.8488372093,0.53764719983866,0.476910398334496,0.535122517929521
