id,Variety,Field,Year,Week,Area_He,Kg_He,Average_Temp,Max_Temp,Min_Temp,Average_Hum,Average_Evapotranspiration,Accumulated_degree_Days,B1_mean,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B9_mean,B10_mean,B11_mean,B12_mean,EVI,GNDVI,NDVI
33,THOMPSON,THOMPSON 00,2020,44-52,9.6,37807.8645833333,18.955590687386,33.5,6.54,59.4628306038525,33.891,281.482042557863,1566.85395189003,1489.02920962199,1477.37542955326,1309.58333333333,1618.76030927835,3048.68556701031,3734.27920962199,3705.5970790378,4028.68728522337,1373.03006872852,17.4647766323024,1986.14347079038,1053.11254295533,0.572610990288331,0.422390023457635,0.46922806998606
34,THOMPSON,THOMPSON 07,2020,44-52,3.4,38150.5882352941,18.955590687386,33.5,6.54,59.4628306038525,33.891,281.482042557863,1775.20823244552,1750.99757869249,1724.52542372881,1478.43341404358,1797.64648910412,3342.75060532688,4106.59564164649,4130.93462469734,4457.58595641646,1444.96368038741,13.0484261501211,2039.91041162228,1041.66343825666,0.667873693941292,0.405372856459952,0.466257585235138
35,THOMPSON,THOMPSON 08,2020,44-52,3.4,34097.5,18.955590687386,33.5,6.54,59.4628306038525,33.891,281.482042557863,1855.23004694836,2108.16666666667,2178.79812206573,1953.66901408451,2218.5,3503.66666666667,4173.56338028169,4167.40375586854,4491.41784037559,1453.91079812207,13.537558685446,2200.15962441315,1119.41784037559,0.548113082985923,0.311296290425068,0.358636460183932
36,THOMPSON,THOMPSON 96,2020,44-52,9.5,36522.8947368421,18.955590687386,33.5,6.54,59.4628306038525,33.891,281.482042557863,1873.98382749326,1882.11949685535,1850.32704402516,1624.96855345912,1913.39892183288,3306.64420485175,3973.20395327943,3958.3432165319,4281.69362084456,1431.24528301887,13.0467205750225,2053.66666666667,1046.15004492363,0.605322943007957,0.360061405402309,0.414559490623928
37,CRIMSON,CRIMSON  99-00,2020,44-52,12.2,52419.7592373489,18.955590687386,33.5,6.54,59.4628306038525,33.891,281.482042557863,1208.39357429719,930.718875502008,954.101070950469,685.091030789826,1194.72489959839,3015.97590361446,3725.33065595716,3695.54819277108,4020.23694779116,1373.88353413655,17.2456492637216,1882.99665327979,995.708835341365,0.689549807593765,0.570985227005389,0.664418034006155
38,CRIMSON,CRIMSON 04,2020,44-52,2.4,52500.7656182423,18.955590687386,33.5,6.54,59.4628306038525,33.891,281.482042557863,1265.17132867133,935.307692307692,973.101398601399,677.863636363636,1234.93356643357,3147.73076923077,3888.12237762238,3859.59440559441,4172.71328671329,1411.40909090909,15.3916083916084,1865.79370629371,965.286713286713,0.724623347912635,0.584988991072128,0.686164694336744
39,ARRA,ARRA 15 CR,2020,44-52,2.9,44983.3536585366,18.955590687386,33.5,6.54,59.4628306038525,33.891,281.482042557863,1252.264,956.682666666667,1002.87733333333,740.589333333333,1238.61333333333,3008.31466666667,3708.264,3694.264,4030.61066666667,1380.02666666667,13.328,1934.56533333333,1053.39733333333,0.674882632335027,0.564400827725728,0.655738115469615
40,TIMCO,TIMCO 14 CR,2020,44-52,4.1,74931.2195121951,18.955590687386,33.5,6.54,59.4628306038525,33.891,281.482042557863,1197.28823529412,932.709803921569,927.996078431373,696.833333333333,1130.57450980392,2910.17843137255,3670.87254901961,3664.85490196078,3951.39411764706,1341.01960784314,17.3019607843137,1844.91568627451,1023.17647058824,0.680555996357226,0.576745866268289,0.658631237289485
41,INIAGRAPEONE,INIAGRAPE ONE 14,2020,44-52,1.1,24633.1818181818,18.955590687386,33.5,6.54,59.4628306038525,33.891,281.482042557863,1244.19402985075,942.410447761194,939.291044776119,738.850746268657,1173.07462686567,2815.47014925373,3557.9328358209,3567.71641791045,3862.14925373134,1222.35074626866,14.4925373134328,1911.09701492537,1090.63432835821,0.646522399872097,0.56874017461912,0.639973378003533
42,INIAGRAPEONE,INIAGRAPE ONE 15,2020,44-52,3,26804.8333333333,18.955590687386,33.5,6.54,59.4628306038525,33.891,281.482042557863,1178.33152173913,929.317934782609,922.959239130435,710.211956521739,1131.23097826087,2802.63315217391,3548.79619565217,3525.125,3850.63858695652,1312.65760869565,13.3641304347826,1837.92663043478,1015.25815217391,0.652307798559575,0.574867368554292,0.653040011615857
43,SABLE,SABLE 14,2020,44-52,4.2,50314.7256097561,18.955590687386,33.5,6.54,59.4628306038525,33.891,281.482042557863,2008.86821705426,2102.3023255814,2112.3992248062,1974.46899224806,2213.40697674419,3565.31976744186,4208.18798449612,4145.27713178295,4473.6492248062,1511.27131782946,13.7848837209302,2251.63178294574,1154.52325581395,0.524912788713163,0.321723088824241,0.351540551282639
44,SABLE,SABLE 16,2020,44-52,1.9,40519.8267008986,18.955590687386,33.5,6.54,59.4628306038525,33.891,281.482042557863,1309.4297188755,984.642570281124,1022.06425702811,801.582329317269,1278.04417670683,3063.49799196787,3842.89558232932,3828.65060240964,4183.76305220884,1446.55823293173,13.3975903614458,2057.17269076305,1126.39357429719,0.673838117515227,0.567633326273845,0.640391848891614
