id,Variety,Field,Year,Week,Area_He,Kg_He,Average_Temp,Max_Temp,Min_Temp,Average_Hum,Accumulated_Evapotranspiration,Sum_Evapotranspiration,Accumulated_degree_Days,B1_mean,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B9_mean,B10_mean,B11_mean,B12_mean,EVI,GNDVI,NDVI
21,THOMPSON,THOMPSON 00,2019,44-52,9.6,31973.8020833333,18.2946086002598,30.9111111111111,6.95555555555556,66.159411336058,29.1644444444444,29.1644444444444,279.609249194847,1487.69845360825,1406.63402061856,1403.78694158076,1182.05498281787,1542.5910652921,3024.6116838488,3708.75859106529,3664.88058419244,3999.55240549828,1304.43728522337,11.6701030927835,1946.68728522337,1005.16494845361,0.599370707504938,0.426600388414467,0.489276693807435
22,THOMPSON,THOMPSON 07,2019,44-52,3.4,27008.0882352941,18.2946086002598,30.9111111111111,6.95555555555556,66.159411336058,29.1644444444444,29.1644444444444,279.609249194847,1748.2784503632,1792.10169491525,1736.92978208232,1437.22760290557,1742.95157384988,3060.15012106538,3673.6803874092,3653.46246973366,3963.92736077482,1258.17433414044,11.4043583535109,1914.17917675545,998.588377723971,0.609918497304362,0.333917976508129,0.410869851239368
23,THOMPSON,THOMPSON 08,2019,44-52,3.4,30371.9117647059,18.2946086002598,30.9111111111111,6.95555555555556,66.159411336058,29.1644444444444,29.1644444444444,279.609249194847,1676.65727699531,2087.03990610329,2240.19483568075,1909.02816901408,2190.60563380282,3355.72300469484,3907.9014084507,3861.71361502347,4162.59154929577,1300.94600938967,11.7136150234742,2112.71596244131,1088.00234741784,0.499359732607441,0.254671595116177,0.324320726166589
24,THOMPSON,THOMPSON 96,2019,44-52,9.5,27943.8421052632,18.2946086002598,30.9111111111111,6.95555555555556,66.159411336058,29.1644444444444,29.1644444444444,279.609249194847,1824.5516621743,1892.77538185085,1847.15633423181,1539.50584007188,1846.95507637017,3166.88858939802,3761.52830188679,3716.98742138365,4031.73495058401,1310.25965858041,11.3315363881402,1971.0251572327,1000.22461814915,0.60851873737247,0.321456553091472,0.397798279814107
25,CRIMSON,CRIMSON  99-00,2019,44-52,12.2,53384.9590163934,18.2946086002598,30.9111111111111,6.95555555555556,66.159411336058,29.1644444444444,29.1644444444444,279.609249194847,1227.56626506024,954.265060240964,966.25234270415,745.470548862115,1228.71954484605,2823.75903614458,3430.89156626506,3405.79116465863,3731.0234270415,1257.05354752343,12.0515394912985,2078.26639892905,1194.82931726908,0.609946091112044,0.526213980722459,0.60116705996604
26,CRIMSON,CRIMSON 04,2019,44-52,2.4,61283.5416666667,18.2946086002598,30.9111111111111,6.95555555555556,66.159411336058,29.1644444444444,29.1644444444444,279.609249194847,1302.46153846154,971.458041958042,991.122377622378,762.318181818182,1273.53146853147,2921.55244755245,3555.58041958042,3535.91608391608,3848.80769230769,1267.63986013986,12.0104895104895,2064.26223776224,1192.15734265734,0.631199555901381,0.532891147411787,0.609186213229086
27,ARRA,ARRA 15 CR,2019,44-52,2.9,53118.6206896552,18.2946086002598,30.9111111111111,6.95555555555556,66.159411336058,29.1644444444444,29.1644444444444,279.609249194847,1328.66666666667,1036.77866666667,1066.66133333333,897.581333333333,1333.06666666667,2751.23466666667,3308.82666666667,3267.232,3566.28533333333,1187.864,12.136,2067.016,1313.56533333333,0.537418953061104,0.478364105383555,0.534430432955424
28,TIMCO,TIMCO 14 CR,2019,44-52,4.1,50073.0487804878,18.2946086002598,30.9111111111111,6.95555555555556,66.159411336058,29.1644444444444,29.1644444444444,279.609249194847,1243.26078431373,991.764705882353,976.1,816.878431372549,1195.69607843137,2659.89019607843,3273.12156862745,3237.52549019608,3511.37647058824,1177.12941176471,11.8607843137255,1945.96274509804,1228.65490196078,0.556921172784824,0.501011778852519,0.556331345877227
29,INIAGRAPEONE,INIAGRAPE ONE 14,2019,44-52,1.1,46748.1818181818,18.2946086002598,30.9111111111111,6.95555555555556,66.159411336058,29.1644444444444,29.1644444444444,279.609249194847,1302.38059701493,1050.14179104478,1013.22388059701,976.141791044776,1284.52985074627,2227.5,2671.0447761194,2687.00746268657,2969.32089552239,999.850746268657,11.9253731343284,2265.82835820896,1536.38805970149,0.40071743504325,0.433575293688632,0.447109209735002
30,INIAGRAPEONE,INIAGRAPE ONE 15,2019,44-52,3,47891.3333333333,18.2946086002598,30.9111111111111,6.95555555555556,66.159411336058,29.1644444444444,29.1644444444444,279.609249194847,1248.4347826087,1009.23369565217,980.220108695652,859.192934782609,1198.1875,2432.07336956522,2960.22010869565,2913.22282608696,3190.82336956522,1091.25543478261,12.1630434782609,1902.66847826087,1242.55163043478,0.484852795732086,0.469178736614792,0.514502568129936
31,SABLE,SABLE 14,2019,44-52,4.2,34794.4047619048,18.2946086002598,30.9111111111111,6.95555555555556,66.159411336058,29.1644444444444,29.1644444444444,279.609249194847,2116.18798449612,2154.18217054264,2103.61046511628,1956.96705426357,2156.42441860465,3183.04651162791,3674.07945736434,3604.08139534884,3914.25581395349,1303.58914728682,12.2558139534884,2390.72674418605,1342.68798449612,0.436376067730345,0.251931224364874,0.28162650221078
32,SABLE,SABLE 16,2019,44-52,1.9,8711.25,18.2946086002598,30.9111111111111,6.95555555555556,66.159411336058,29.1644444444444,29.1644444444444,279.609249194847,1412.83534136546,1101.25702811245,1100.98795180723,1024.32931726908,1369.32530120482,2501.30522088353,2991.24497991968,2932.46987951807,3244.66666666667,1159.42168674699,12.4056224899598,2151.06425702811,1450.85542168675,0.435213965823851,0.422267351404251,0.4459038918995
