id,Variety,Field,Year,Week,Area_He,Kg_He,Average_Temp,Max_Temp,Min_Temp,Average_Hum,Average_Evapotranspiration,Accumulated_degree_Days,B1_mean,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B9_mean,B10_mean,B11_mean,B12_mean,EVI,GNDVI,NDVI
11,THOMPSON,THOMPSON 00,2018,44-52,9.6,42209.0201385266,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1492.61941580756,1422.64261168385,1428.23109965636,1146.80154639175,1543.88573883162,3213.71048109966,3966.4441580756,3900.95189003436,4227.04810996564,1377.26374570447,21.6615120274914,1879.81872852234,982.731099656357,0.666665655794422,0.45079081026754,0.532492676295366
12,THOMPSON,THOMPSON 07,2018,44-52,3.4,37818.0558368301,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1301.11622276029,1051.60532687651,1047.21307506053,794.786924939467,1235.76271186441,2885.21549636804,3533.94673123487,3500.51573849879,3771.51089588378,1266.37530266344,39.0338983050847,1826.00726392252,1074.49152542373,0.633746139362418,0.525434618206925,0.617079289932228
13,THOMPSON,THOMPSON 08,2018,44-52,3.4,47094.339901664,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1253.61737089202,1001.98591549296,995.234741784038,759.678403755869,1192.75352112676,2759.00938967136,3374.5234741784,3321.17840375587,3628.30985915493,1245.12910798122,24.6431924882629,1863.96478873239,1095.48122065728,0.606489237205523,0.521572635976921,0.608700690205108
14,THOMPSON,THOMPSON 96,2018,44-52,9.5,39653.8641769946,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1259.14465408805,995.788858939802,993.195867026056,725.985624438455,1176.87780772686,2853.55795148248,3512.54627133872,3459.80862533693,3767.0269541779,1275.25696316262,27.8508535489668,1809.74663072776,1030.88769092543,0.645220320742085,0.536823338361228,0.636027534454659
15,CRIMSON,CRIMSON  99-00,2018,44-52,12.2,48920.0149331063,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1288.29049531459,1020.61311914324,1056.64658634538,744.663989290495,1313.89625167336,3236.38219544846,3930.77643908969,3870.43574297189,4204.27777777778,1399.93975903614,23.6017402945114,1953.92302543507,1057.31459170013,0.713202806820512,0.555720668520474,0.661599745353063
16,CRIMSON,CRIMSON 04,2018,44-52,2.4,45584.6351038506,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1307.75174825175,1026.54545454545,1063.18181818182,764.087412587413,1339.74475524476,3202.03146853147,3875.11888111888,3829.38461538462,4134.59090909091,1336.3951048951,25.0664335664336,1961.65734265734,1097.16083916084,0.698654596726378,0.546721038597447,0.646902447918078
17,ARRA,ARRA 15 CR,2018,44-52,2.9,45286.1428571429,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1378.936,1145.38666666667,1158.26666666667,991.245333333333,1410.64266666667,2784.54666666667,3319.352,3265.048,3561.25866666667,1245.24,28.832,2074.60266666667,1350.44,0.529576066573461,0.473114263693492,0.534750097751617
18,TIMCO,TIMCO 14 CR,2018,44-52,4.1,48340.1290910048,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1330.17058823529,1078.36666666667,1067.0862745098,897.950980392157,1307.31960784314,2806.7568627451,3410.62745098039,3375.97254901961,3670.33529411765,1257.16666666667,22.1960784313725,2038.38431372549,1272.15098039216,0.574636955237856,0.505829322922464,0.565990748738541
19,INIAGRAPEONE,INIAGRAPE ONE 14,2018,44-52,1.1,56278.9473684211,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1342.61940298507,1093.41791044776,1064.88059701493,972.126865671642,1335.15671641791,2499.87313432836,3013.20149253731,2980.90298507463,3304.02985074627,1181.9552238806,21.4626865671642,2188.29104477612,1431.01492537313,0.46962422088011,0.46029178397869,0.494514492465489
20,SABLE,SABLE 14,2018,44-52,4.2,36081.6737588652,17.8312345633409,30.29,7.56,66.1581225211914,29.888,243.918791756604,1312.96124031008,1083.38953488372,1100.67248062016,903.261627906977,1353.75387596899,2897.48837209302,3539.72674418605,3500.26550387597,3847.45930232558,1314.18217054264,31.0949612403101,2199.66085271318,1351.66860465116,0.58876936969369,0.500396177634712,0.564967081759327
